TractID,Lat,Long,Total_2018Pop,SeriesComp,x,y,vax_prop
22071000100,29.953106,-90.052071,2735,1288,-10024550.69,3497523.48,0.470932358
22071000200,29.945894,-90.052353,1704,475,-10024582.08,3496596.916,0.278755869
22071000300,29.94095,-90.048988,1263,461,-10024207.49,3495961.773,0.365003959
22071000400,29.946333,-90.04248,1942,892,-10023483.02,3496653.315,0.459320288
22071000601,29.932783,-90.040955,816,281,-10023313.26,3494912.648,0.344362745
22071000602,29.937494,-90.033455,2328,924,-10022478.36,3495517.808,0.396907216
22071000603,29.930067,-90.025528,936,407,-10021595.94,3494563.772,0.43482906
22071000604,29.932632,-90.019966,4163,1381,-10020976.78,3494893.251,0.331731924
22071000605,29.947245,-90.026558,2297,732,-10021710.59,3496770.481,0.318676535
22071000606,29.934513,-90.008972,4523,2315,-10019752.93,3495134.875,0.511828432
22071000607,29.928417,-89.994919,4733,1962,-10018188.56,3494351.831,0.414536235
22071000611,29.918962,-89.977852,5144,1454,-10016288.67,3493137.412,0.282659409
22071000612,29.901453,-89.935356,1834,1208,-10011558.03,3490888.825,0.658669575
22071000613,29.920586,-90.025597,4906,1689,-10021603.62,3493345.993,0.34427232
22071000615,29.919991,-90.007034,4313,943,-10019537.19,3493269.573,0.218641317
22071000616,29.915421,-89.993736,4392,2074,-10018056.87,3492682.628,0.472222222
22071000617,29.89855,-89.993027,5366,1128,-10017977.94,3490516.046,0.210212449
22071000618,29.906885,-90.006142,4392,1996,-10019437.9,3491586.385,0.454462659
22071000701,29.971428,-90.021645,907,408,-10021163.68,3499877.708,0.44983462
22071000702,29.954519,-90.01725,1877,757,-10020674.43,3497705.024,0.403303143
22071000800,29.959587,-90.019875,1752,677,-10020966.65,3498356.186,0.386415525
22071000901,29.966883,-90.00499,901,328,-10019309.66,3499293.672,0.364039956
22071000902,29.974344,-90.010941,555,.,-10019972.12,3500252.43,.
22071000903,29.968637,-90.01329,700,.,-10020233.61,3499519.059,.
22071000904,29.96364,-90.015259,1315,387,-10020452.8,3498876.96,0.294296578
22071001100,29.966717,-90.030518,1808,1063,-10022151.42,3499272.341,0.587942478
22071001200,29.962652,-90.046555,1701,1127,-10023936.65,3498750.009,0.66255144
22071001301,29.96924,-90.041252,1936,1048,-10023346.32,3499596.545,0.541322314
22071001302,29.969738,-90.03447,1128,617,-10022591.35,3499660.538,0.546985816
